knowninhib_name,knowninhib_smiles,genmol_name,genmol_smiles,simil
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.049
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.025
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.044
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.02
aurora kinase inhibitor III,O=C(Nc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.033
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.014
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.072
GSK-3 inhibitor XIII,Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)n[nH]1,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.022
Rho kinase inhibitor IV,Cc1cncc2cccc(S(=O)(=O)N3CCCN(C(=O)CN)C[C@@H]3C)c12,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.068
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4ztq_153_ligand.sdf,C=C1C[C@@H](I)C[C@@H]2CC[C@]3(CC=CC[C@]45C[C@]46CCCCC[C@@H]4C[C@]456)C[C@]3(O)N[C@H]12,0.027
